30
7321
1 3
1115.75 5.3456 15
1132.18 3.99943 16
1147.46 3.62662 17
1160.76 0.563009 18
1172.93 0.44642 19
1172.93 0.44638 20
1184.92 -0.216661 21
1 24
796 36 0
831.731 31.8914 1
831.729 31.8915 2
865.766 28.4798 3
897.907 24.644 4
928.992 21.9487 5
958.033 18.8487 6
985.986 16.7156 7
985.981 16.708 8
1012.82 13.8897 9
1038.43 12.628 10
1061.48 10.9566 11
1082.65 8.95391 12
1103.41 8.40198 13
1103.39 8.39399 14
1120.91 5.94519 15
1137.18 4.75435 16
1152.08 4.3163 17
1165.23 1.22939 18
1177.35 1.10134 19
1177.35 1.10135 20
1189.26 0.477862 21
1200.68 0.197645 22
1212.54 -0.0846402 23
1 24
820 36 0
854.65 32.1092 1
854.65 32.1093 2
887.915 28.7744 3
919.805 24.8621 4
949.82 22.361 5
977.649 19.2259 6
1004.74 16.9495 7
1004.74 16.9434 8
1030.68 14.213 9
1055.61 12.805 10
1078.32 10.9143 11
1098.53 9.00414 12
1118.51 8.4415 13
1118.5 8.4333 14
1135 6.0961 15
1150.92 5.01198 16
1165.02 4.45104 17
1177.1 1.43339 18
1188.77 1.19325 19
1188.77 1.19326 20
1200.48 0.573685 21
1211.48 0.304745 22
1223.13 -0.0686631 23
1 23
828 36 0
862.622 32.125 1
862.622 32.125 2
895.47 28.7181 3
927.3 24.8304 4
957.23 22.3297 5
984.948 19.1963 6
1011.52 16.9825 7
1011.51 16.9796 8
1037.34 14.2104 9
1062.08 12.7767 10
1084.78 10.8861 11
1104.87 8.96375 12
1124.54 8.36026 13
1124.53 8.3549 14
1140.87 6.09132 15
1156.66 4.96656 16
1170.71 4.35093 17
1182.77 1.34171 18
1194.31 1.00164 19
1194.31 1.00164 20
1205.77 0.266787 21
